catalogue_release,observable_id,measurement_id,object_id,observable_name,value,err_plus,err_minus,censoring,unit,uncertainty_kind,source_location
v2-dataset-catalogue,DC873321_oii3727_3730,DC873321_ren25,DC_873321,oii3727_3730_flux,3.15,0.3,0.3,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,UNCOVER4286_greene24__log_mbh,UNCOVER4286_greene24,UNCOVER-4286,log_mbh,8.0,0.3,0.3,detection,log10(Msun),published_symmetric_1sigma,Tables 1 and 3
v2-dataset-catalogue,UNCOVER4286_greene24__lensing_mu,UNCOVER4286_greene24,UNCOVER-4286,lensing_mu,1.62,,,detection,dimensionless,not_published,Tables 1 and 3
v2-dataset-catalogue,UNCOVER13123_greene24__log_mbh,UNCOVER13123_greene24,A2744-QSO1,log_mbh,7.3,0.2,0.2,detection,log10(Msun),published_symmetric_1sigma,Tables 1 and 3
v2-dataset-catalogue,UNCOVER13123_greene24__lensing_mu,UNCOVER13123_greene24,A2744-QSO1,lensing_mu,6.15,,,detection,dimensionless,not_published,Tables 1 and 3
v2-dataset-catalogue,UNCOVER13821_greene24__log_mbh,UNCOVER13821_greene24,UNCOVER-13821,log_mbh,8.1,0.2,0.2,detection,log10(Msun),published_symmetric_1sigma,Tables 1 and 3
v2-dataset-catalogue,UNCOVER13821_greene24__lensing_mu,UNCOVER13821_greene24,UNCOVER-13821,lensing_mu,1.59,,,detection,dimensionless,not_published,Tables 1 and 3
v2-dataset-catalogue,UNCOVER20466_greene24__log_mbh,UNCOVER20466_greene24,UNCOVER-20466,log_mbh,8.17,0.42,0.42,detection,log10(Msun),published_symmetric_1sigma,Tables 1 and 3
v2-dataset-catalogue,UNCOVER20466_greene24__lensing_mu,UNCOVER20466_greene24,UNCOVER-20466,lensing_mu,1.33,,,detection,dimensionless,not_published,Tables 1 and 3
v2-dataset-catalogue,UNCOVER23608_greene24__log_mbh,UNCOVER23608_greene24,UNCOVER-23608,log_mbh,7.5,0.2,0.2,detection,log10(Msun),published_symmetric_1sigma,Tables 1 and 3
v2-dataset-catalogue,UNCOVER23608_greene24__lensing_mu,UNCOVER23608_greene24,UNCOVER-23608,lensing_mu,2.07,,,detection,dimensionless,not_published,Tables 1 and 3
