catalogue_release,physical_object_id,host_system_id,measurement_id,object_id,source_key,ra_deg,dec_deg,redshift,alias_kind
v2-dataset-catalogue,HZA-J0910M0414-BHAE-1,HZS-J0910M0414-BHAE-1,J0910M0414BHAE1_lin24,J0910M0414-BHAE-1,lin24_aspire_blagn,137.7143,-4.2213,4.9102,source_object_id
v2-dataset-catalogue,HZA-J0923P0402-BHAE-1,HZS-J0923P0402-BHAE-1,J0923P0402BHAE1_lin24,J0923P0402-BHAE-1,lin24_aspire_blagn,140.9658,4.0545,4.8688,source_object_id
v2-dataset-catalogue,HZA-J1120-14389,HZS-J1120-14389,J112014389_matthee23,J1120-14389,matthee23_eiger_fresco_blagn,170.00370833,6.71956111,4.897,source_object_id
v2-dataset-catalogue,HZA-J1120-7546,HZS-J1120-7546,J11207546_matthee23,J1120-7546,matthee23_eiger_fresco_blagn,169.99941667,6.654725,4.967,source_object_id
v2-dataset-catalogue,HZA-J1148-18404,HZS-J1148-18404,J114818404_matthee23,J1148-18404,matthee23_eiger_fresco_blagn,177.05795833,52.86280278,5.011,source_object_id
v2-dataset-catalogue,HZA-J1148-21787,HZS-J1148-21787,J114821787_matthee23,J1148-21787,matthee23_eiger_fresco_blagn,177.02141667,52.83362222,4.277,source_object_id
v2-dataset-catalogue,HZA-J1148-7111,HZS-J1148-7111,J11487111_matthee23,J1148-7111,matthee23_eiger_fresco_blagn,177.10170833,52.90796111,4.339,source_object_id
v2-dataset-catalogue,HZA-J1526M2050-BHAE-1,HZS-J1526M2050-BHAE-1,J1526M2050BHAE1_lin24,J1526M2050-BHAE-1,lin24_aspire_blagn,231.6589,-20.8692,4.1573,source_object_id
v2-dataset-catalogue,HZA-J1526M2050-BHAE-2,HZS-J1526M2050-BHAE-2,J1526M2050BHAE2_lin24,J1526M2050-BHAE-2,lin24_aspire_blagn,231.6513,-20.8566,4.8708,source_object_id
v2-dataset-catalogue,HZA-J1526M2050-BHAE-3,HZS-J1526M2050-BHAE-3,J1526M2050BHAE3_lin24,J1526M2050-BHAE-3,lin24_aspire_blagn,231.671,-20.8434,4.8751,source_object_id
v2-dataset-catalogue,HZA-J2002M3013-BHAE-1,HZS-J2002M3013-BHAE-1,J2002M3013BHAE1_lin24,J2002M3013-BHAE-1,lin24_aspire_blagn,300.6666,-30.1814,4.9461,source_object_id
v2-dataset-catalogue,HZA-J2132P1217-BHAE-1,HZS-J2132P1217-BHAE-1,J2132P1217BHAE1_lin24,J2132P1217-BHAE-1,lin24_aspire_blagn,323.1515,12.3108,4.925,source_object_id
v2-dataset-catalogue,HZA-J2232P2930-BHAE-1,HZS-J2232P2930-BHAE-1,J2232P2930BHAE1_lin24,J2232P2930-BHAE-1,lin24_aspire_blagn,338.2275,29.494,4.1349,source_object_id
v2-dataset-catalogue,HZA-J2232P2930-BHAE-2,HZS-J2232P2930-BHAE-2,J2232P2930BHAE2_lin24,J2232P2930-BHAE-2,lin24_aspire_blagn,338.2381,29.5225,4.4693,source_object_id
v2-dataset-catalogue,HZA-J2232P2930-BHAE-3,HZS-J2232P2930-BHAE-3,J2232P2930BHAE3_lin24,J2232P2930-BHAE-3,lin24_aspire_blagn,338.2325,29.5094,4.7061,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-13872,HZS-RUBIES-EGS-13872,RUBIESEGS13872_taylor24,RUBIES-EGS-13872,taylor24_ceers_rubies_blagn,215.132933,52.970705,5.262,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-17146,HZS-RUBIES-EGS-17146,RUBIESEGS17146_taylor24,RUBIES-EGS-17146,taylor24_ceers_rubies_blagn,214.949482,52.845415,5.0,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-28812,HZS-RUBIES-EGS-28812,RUBIESEGS28812_taylor24,RUBIES-EGS-28812,taylor24_ceers_rubies_blagn,214.924149,52.84905,4.222,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-29489,HZS-RUBIES-EGS-29489,RUBIESEGS29489_taylor24,RUBIES-EGS-29489,taylor24_ceers_rubies_blagn,215.022071,52.920786,4.543,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-37124,HZS-RUBIES-EGS-37124,RUBIESEGS37124_taylor24,RUBIES-EGS-37124,taylor24_ceers_rubies_blagn,214.990977,52.916524,5.682,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-42046,HZS-RUBIES-EGS-42046,RUBIESEGS42046_taylor24,RUBIES-EGS-42046,taylor24_ceers_rubies_blagn,214.795368,52.788847,5.276,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-42232,HZS-RUBIES-EGS-42232,RUBIESEGS42232_taylor24,RUBIES-EGS-42232,taylor24_ceers_rubies_blagn,214.886792,52.855381,4.954,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-45599,HZS-RUBIES-EGS-45599,RUBIESEGS45599_taylor24,RUBIES-EGS-45599,taylor24_ceers_rubies_blagn,214.831103,52.824124,4.862,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-46985,HZS-RUBIES-EGS-46985,RUBIESEGS46985_taylor24,RUBIES-EGS-46985,taylor24_ceers_rubies_blagn,214.805654,52.809497,4.963,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-49140,HZS-RUBIES-EGS-49140,RUBIESEGS49140_taylor24,RUBIES-EGS-49140,taylor24_ceers_rubies_blagn,214.892248,52.87741,6.685,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-60935,HZS-RUBIES-EGS-60935,RUBIESEGS60935_taylor24,RUBIES-EGS-60935,taylor24_ceers_rubies_blagn,214.923373,52.925593,5.287,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-6411,HZS-RUBIES-EGS-6411,RUBIESEGS6411_taylor24,RUBIES-EGS-6411,taylor24_ceers_rubies_blagn,215.109185,52.93977,4.88,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-926125,HZS-RUBIES-EGS-926125,RUBIESEGS926125_taylor24,RUBIES-EGS-926125,taylor24_ceers_rubies_blagn,215.137081,52.988554,5.284,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-119957,HZS-RUBIES-UDS-119957,RUBIESUDS119957_taylor24,RUBIES-UDS-119957,taylor24_ceers_rubies_blagn,34.268908,-5.176722,4.149,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-139709,HZS-RUBIES-UDS-139709,RUBIESUDS139709_taylor24,RUBIES-UDS-139709,taylor24_ceers_rubies_blagn,34.296002,-5.149895,5.685,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-143683,HZS-RUBIES-UDS-143683,RUBIESUDS143683_taylor24,RUBIES-UDS-143683,taylor24_ceers_rubies_blagn,34.316389,-5.144678,4.226,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-155916,HZS-RUBIES-UDS-155916,RUBIESUDS155916_taylor24,RUBIES-UDS-155916,taylor24_ceers_rubies_blagn,34.317031,-5.127611,4.098,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-172350,HZS-RUBIES-UDS-172350,RUBIESUDS172350_taylor24,RUBIES-UDS-172350,taylor24_ceers_rubies_blagn,34.368951,-5.103941,5.58,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-174752,HZS-RUBIES-UDS-174752,RUBIESUDS174752_taylor24,RUBIES-UDS-174752,taylor24_ceers_rubies_blagn,34.205808,-5.1005,6.039,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-182791,HZS-RUBIES-UDS-182791,RUBIESUDS182791_taylor24,RUBIES-UDS-182791,taylor24_ceers_rubies_blagn,34.213813,-5.08705,4.718,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-19484,HZS-RUBIES-UDS-19484,RUBIESUDS19484_taylor24,RUBIES-UDS-19484,taylor24_ceers_rubies_blagn,34.232426,-5.280654,4.656,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-19521,HZS-RUBIES-UDS-19521,RUBIESUDS19521_taylor24,RUBIES-UDS-19521,taylor24_ceers_rubies_blagn,34.383672,-5.287732,5.669,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-29813,HZS-RUBIES-UDS-29813,RUBIESUDS29813_taylor24,RUBIES-UDS-29813,taylor24_ceers_rubies_blagn,34.453355,-5.270717,5.44,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-30969,HZS-RUBIES-UDS-30969,RUBIESUDS30969_taylor24,RUBIES-UDS-30969,taylor24_ceers_rubies_blagn,34.296356,-5.268672,4.0,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-31747,HZS-RUBIES-UDS-31747,RUBIESUDS31747_taylor24,RUBIES-UDS-31747,taylor24_ceers_rubies_blagn,34.223757,-5.260245,4.13,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-35974,HZS-RUBIES-UDS-35974,RUBIESUDS35974_taylor24,RUBIES-UDS-35974,taylor24_ceers_rubies_blagn,34.331644,-5.260593,4.367,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-47509,HZS-RUBIES-UDS-47509,RUBIESUDS47509_taylor24,RUBIES-UDS-47509,taylor24_ceers_rubies_blagn,34.264602,-5.232586,5.673,source_object_id
