physical_object_id,object_id,object_class,redshift,seed_mass_family,required_fedd
HZA-GNIRS50-J1044-0125,J1044-0125,luminous_quasar_comparison,5.78549,1e2,1.0193300156324958
HZA-XQR30-SDSS-J1306-0356,SDSS J1306+0356,luminous_quasar_comparison,6.033,1e2,1.0181446072106533
HZA-GNIRS50-J0002-2550,J0002+2550,luminous_quasar_comparison,5.81732,1e2,1.0176945525819279
HZA-GNIRS50-J0353-0104,J0353+0104,luminous_quasar_comparison,6.05732,1e2,1.0173059798686561
HZA-GNIRS50-J1143-3808,J1143+3808,luminous_quasar_comparison,5.82516,1e2,1.0151194158625088
HZA-XQR30-PSO-J029-29,PSO J029-29,luminous_quasar_comparison,5.984,1e2,1.0131760287112666
HZA-GNIRS50-J1436-5007,J1436+5007,luminous_quasar_comparison,5.81132,1e2,1.0108523768263697
HZA-XQR30-PSO-J359-06,PSO J359-06,luminous_quasar_comparison,6.1722,1e2,1.010399562464717
HZA-GNIRS50-J1250-3130,J1250+3130,luminous_quasar_comparison,6.13728,1e2,1.0097884697339312
HZA-XQR30-PSO-J217-16,PSO J217-16,luminous_quasar_comparison,6.1498,1e2,1.0079621111653354
HZA-GNIRS50-P228-21,P228+21,luminous_quasar_comparison,5.89177,1e2,1.006791297086342
HZA-GNIRS50-J1427-3312,J1427+3312,luminous_quasar_comparison,6.12115,1e2,1.004097153383852
HZA-XQR30-VST-ATLAS-J029-36,VST-ATLAS J029-36,luminous_quasar_comparison,6.02,1e2,1.0024576262175404
HZA-GNIRS50-J0840-5624,J0840+5624,luminous_quasar_comparison,5.81997,1e2,1.001030083203436
HZA-XQR30-PSO-J065-01,PSO J065+01,luminous_quasar_comparison,5.79,1e2,1.000799618780409
HZA-XQR30-PSO-J023-02,PSO J023-02,luminous_quasar_comparison,5.9,1e2,0.9996181645050621
HZA-XQR30-PSO-J242-12,PSO J242-12,luminous_quasar_comparison,5.83,1e2,0.998688101860806
HZA-GNIRS50-J1335-3533,J1335+3533,luminous_quasar_comparison,5.84703,1e2,0.9977219058163908
HZA-GNIRS50-J0810-5105,J0810+5105,luminous_quasar_comparison,5.80496,1e2,0.9965237716146957
HZA-XQR30-SDSS-J0836-0054,SDSS J0836+0054,luminous_quasar_comparison,5.773,1e2,0.9953139794521272
HZA-XQR30-PSO-J217-07,PSO J217-07,luminous_quasar_comparison,6.1663,1e2,0.9945854775540028
HZA-GNIRS50-J1425-3254,J1425+3254,luminous_quasar_comparison,5.86147,1e2,0.9927433983344643
HZA-GNIRS50-P333-26,P333+26,luminous_quasar_comparison,6.02651,1e2,0.9857783861072748
HZA-GNIRS50-P000-26,P000+26,luminous_quasar_comparison,5.73276,1e2,0.9855981940743055
HZA-GNIRS50-J1403-0902,J1403+0902,luminous_quasar_comparison,5.77302,1e2,0.9846575579366778
HZA-XQR30-PSO-J025-11,PSO J025-11,luminous_quasar_comparison,5.85,1e2,0.980858888741492
HZA-GNIRS50-J0841-2905,J0841+2905,luminous_quasar_comparison,5.95354,1e2,0.9806245076529145
HZA-GNIRS50-J0850-3246,J0850+3246,luminous_quasar_comparison,5.67312,1e2,0.9797622441600439
HZA-GNIRS50-J1621-5155,J1621+5155,luminous_quasar_comparison,5.63323,1e2,0.9684404530427321
HZA-XQR30-PSO-J183-12,PSO J183-12,luminous_quasar_comparison,5.86,1e2,0.9671771639310505
HZA-GNIRS50-J1545-6028,J1545+6028,luminous_quasar_comparison,5.7935,1e2,0.9509049563329477
HZA-XQR30-PSO-J308-27,PSO J308-27,luminous_quasar_comparison,5.7985,1e2,0.9355908784399009
HZA-XQR30-SDSS-J0927-2001,SDSS J0927+2001,luminous_quasar_comparison,5.7722,1e2,0.9321856534592414
HZA-GN-38509,GN-38509,broad_line_agn,6.678,1e2,1.064544199368414
HZA-GNIRS50-J0835-3217,J0835+3217,luminous_quasar_comparison,5.9016,1e2,0.9395319188354287
HZA-GNIRS50-J0008-0626,J0008-0626,luminous_quasar_comparison,5.92914,1e2,0.9388523318701806
HZA-GS-20057765,GS-20057765,broad_line_agn,8.913,1e2,1.3553650821669596
HZA-GNIRS50-J0221-0802,J0221-0802,luminous_quasar_comparison,6.20015,1e2,0.9687640280278362
HZA-GNIRS50-J0136-0226,J0136+0226,luminous_quasar_comparison,6.20648,1e2,0.9557079832463239
HZA-GNIRS50-J2329-0403,J2329-0403,luminous_quasar_comparison,5.88263,1e2,0.905867046170473
HZA-RUBIES-EGS-49140,RUBIES-EGS-49140,broad_line_agn,6.685,1e2,1.0158950168929186
HZA-CEERS-00717,CEERS-00717,broad_line_agn,6.936,1e2,1.0273631809780568
