science_release,input_catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,source_key,object_class,redshift,log_mseed_assumption,z_seed,epsilon,merger_boost,burst_scenario,burst_fedd,quiescent_fedd,required_lifetime_average_fedd_point,required_duty_cycle_point,required_duty_cycle_p5,required_duty_cycle_p16,required_duty_cycle_p50,required_duty_cycle_p84,required_duty_cycle_p95,prob_required_duty_cycle_gt_1,fixed_burst_scenario_feasible_point,reported_current_fedd,current_fedd_comparison_eligible_flag,current_to_required_fedd_ratio,current_fedd_is_instantaneous_not_history,n_samples,random_seed,reported_statistical_errors_sampled,statistical_error_model,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,systematic_combined_with_statistical_error
v3-shared-science,v3-dataset-catalogue,measurement,DC417567_ren25,DC417567_ren25,HZA-DC-417567,DC_417567,ren25_alpine_cristal_jwst_blagn_candidates,broad_line_agn,5.67,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.5113276882130028,0.17044256273766759,0.16339450291264757,0.1661949956589406,0.1704590145390013,0.17463301150461408,0.17745092686737227,0.0,True,1.1220184543019631,True,2.1943236796411583,True,10000,20260808,True,split_normal_in_log_mbh,0.1,0.1,False
v3-shared-science,v3-dataset-catalogue,measurement,DC519281_ren25,DC519281_ren25,HZA-DC-519281,DC_519281,ren25_alpine_cristal_jwst_blagn_candidates,broad_line_agn,5.5759,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.5917955072599286,0.5917955072599286,0.5690626833564543,0.5778344971878516,0.5913611518479793,0.6050743980030481,0.6138510383067838,0.0,True,0.4466835921509631,True,0.7547938209587837,True,10000,20260808,True,split_normal_in_log_mbh,0.11,0.11,False
v3-shared-science,v3-dataset-catalogue,measurement,DC519281_ren25,DC519281_ren25,HZA-DC-519281,DC_519281,ren25_alpine_cristal_jwst_blagn_candidates,broad_line_agn,5.5759,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.5917955072599286,0.2958977536299643,0.28453134167822713,0.2889172485939258,0.29568057592398966,0.30253719900152404,0.3069255191533919,0.0,True,0.4466835921509631,True,0.7547938209587837,True,10000,20260808,True,split_normal_in_log_mbh,0.11,0.11,False
v3-shared-science,v3-dataset-catalogue,measurement,DC519281_ren25,DC519281_ren25,HZA-DC-519281,DC_519281,ren25_alpine_cristal_jwst_blagn_candidates,broad_line_agn,5.5759,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.5917955072599286,0.19726516908664285,0.1896875611188181,0.1926114990626172,0.19712038394932646,0.201691466001016,0.2046170127689279,0.0,True,0.4466835921509631,True,0.7547938209587837,True,10000,20260808,True,split_normal_in_log_mbh,0.11,0.11,False
v3-shared-science,v3-dataset-catalogue,measurement,DC536534_ren25,DC536534_ren25,HZA-DC-536534,DC_536534,ren25_alpine_cristal_jwst_blagn_candidates,broad_line_agn,5.6886,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.7422978921291817,0.7422978921291817,0.7297968026944651,0.7346387520879394,0.7423891240943828,0.749967076766546,0.7551442944504991,0.0,True,0.097723722095581,True,0.1316502756262363,True,10000,20260808,True,split_normal_in_log_mbh,0.06,0.06,False
v3-shared-science,v3-dataset-catalogue,measurement,DC536534_ren25,DC536534_ren25,HZA-DC-536534,DC_536534,ren25_alpine_cristal_jwst_blagn_candidates,broad_line_agn,5.6886,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.7422978921291817,0.37114894606459087,0.36489840134723256,0.3673193760439697,0.3711945620471914,0.374983538383273,0.37757214722524957,0.0,True,0.097723722095581,True,0.1316502756262363,True,10000,20260808,True,split_normal_in_log_mbh,0.06,0.06,False
v3-shared-science,v3-dataset-catalogue,measurement,DC536534_ren25,DC536534_ren25,HZA-DC-536534,DC_536534,ren25_alpine_cristal_jwst_blagn_candidates,broad_line_agn,5.6886,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.7422978921291817,0.24743263070972724,0.24326560089815505,0.24487958402931312,0.2474630413647943,0.24998902558884867,0.251714764816833,0.0,True,0.097723722095581,True,0.1316502756262363,True,10000,20260808,True,split_normal_in_log_mbh,0.06,0.06,False
v3-shared-science,v3-dataset-catalogue,measurement,DC683613_ren25,DC683613_ren25,HZA-DC-683613,DC_683613,ren25_alpine_cristal_jwst_blagn_candidates,broad_line_agn,5.542,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.48895561501187723,0.48895561501187723,0.4586007372828628,0.4703524280165856,0.4887937389424667,0.5077352577115816,0.5191734240043409,0.0,True,0.6165950018614822,True,1.2610449352269009,True,10000,20260808,True,split_normal_in_log_mbh,0.15,0.15,False
v3-shared-science,v3-dataset-catalogue,measurement,DC683613_ren25,DC683613_ren25,HZA-DC-683613,DC_683613,ren25_alpine_cristal_jwst_blagn_candidates,broad_line_agn,5.542,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.48895561501187723,0.24447780750593862,0.2293003686414314,0.2351762140082928,0.24439686947123335,0.2538676288557908,0.2595867120021704,0.0,True,0.6165950018614822,True,1.2610449352269009,True,10000,20260808,True,split_normal_in_log_mbh,0.15,0.15,False
v3-shared-science,v3-dataset-catalogue,measurement,DC683613_ren25,DC683613_ren25,HZA-DC-683613,DC_683613,ren25_alpine_cristal_jwst_blagn_candidates,broad_line_agn,5.542,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.48895561501187723,0.16298520500395908,0.15286691242762096,0.1567841426721952,0.16293124631415556,0.1692450859038605,0.17305780800144693,0.0,True,0.6165950018614822,True,1.2610449352269009,True,10000,20260808,True,split_normal_in_log_mbh,0.15,0.15,False
