release,physical_object_id,object_id,object_class,growth_ranking_eligible_flag,seed_model,spin_case,merger_case,f_edd_avg,required_log_mseed,compatible,status
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_minus1_eps0p038,no_merger_boost,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_minus1_eps0p038,merger_boost_x2,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_minus1_eps0p038,merger_boost_x2,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_minus1_eps0p038,merger_boost_x2,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_0_eps0p057,no_merger_boost,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_0_eps0p057,no_merger_boost,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_0_eps0p057,no_merger_boost,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_0_eps0p057,merger_boost_x2,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_0_eps0p057,merger_boost_x2,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_0_eps0p057,merger_boost_x2,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_plus1_eps0p423,no_merger_boost,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_plus1_eps0p423,no_merger_boost,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_plus1_eps0p423,no_merger_boost,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_plus1_eps0p423,merger_boost_x2,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_plus1_eps0p423,merger_boost_x2,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_plus1_eps0p423,merger_boost_x2,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_minus1_eps0p038,no_merger_boost,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_minus1_eps0p038,no_merger_boost,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_minus1_eps0p038,no_merger_boost,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_minus1_eps0p038,merger_boost_x2,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_minus1_eps0p038,merger_boost_x2,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_minus1_eps0p038,merger_boost_x2,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_0_eps0p057,no_merger_boost,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_0_eps0p057,no_merger_boost,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_0_eps0p057,no_merger_boost,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_0_eps0p057,merger_boost_x2,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_0_eps0p057,merger_boost_x2,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_0_eps0p057,merger_boost_x2,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_plus1_eps0p423,no_merger_boost,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_plus1_eps0p423,no_merger_boost,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_plus1_eps0p423,no_merger_boost,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_plus1_eps0p423,merger_boost_x2,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_plus1_eps0p423,merger_boost_x2,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,pbh_origin_hypothesis,spin_plus1_eps0p423,merger_boost_x2,2.0,,,missing_numeric_mbh
v3,HZA-AURORA-1914-100182,AURORA_1914_100182,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,no_merger_boost,0.3,1.2191025818680368,True,calculated
v3,HZA-AURORA-1914-100182,AURORA_1914_100182,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,no_merger_boost,1.0,-10.86965806043988,False,calculated
v3,HZA-AURORA-1914-100182,AURORA_1914_100182,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,no_merger_boost,2.0,-41.03043151181181,False,calculated
v3,HZA-AURORA-1914-100182,AURORA_1914_100182,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,merger_boost_x2,0.3,0.9180725862040555,False,calculated
v3,HZA-AURORA-1914-100182,AURORA_1914_100182,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,merger_boost_x2,1.0,-11.170688056103861,False,calculated
v3,HZA-AURORA-1914-100182,AURORA_1914_100182,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,merger_boost_x2,2.0,-41.331461507475794,False,calculated
v3,HZA-AURORA-1914-100182,AURORA_1914_100182,broad_line_agn,True,light_seeds,spin_0_eps0p057,no_merger_boost,0.3,3.049381132484116,False,calculated
v3,HZA-AURORA-1914-100182,AURORA_1914_100182,broad_line_agn,True,light_seeds,spin_0_eps0p057,no_merger_boost,1.0,-4.76872955838628,False,calculated
v3,HZA-AURORA-1914-100182,AURORA_1914_100182,broad_line_agn,True,light_seeds,spin_0_eps0p057,no_merger_boost,2.0,-24.446388427951653,False,calculated
