catalogue_release,host_system_id,n_physical_objects,n_measurements,physical_object_ids,measurement_ids,source_keys,host_system_assignment_status,host_property_scope,log_mstar_msun_std,log_mstar_upper_limit_msun,host_mass_note
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0227-0605,1,1,HZA-GNIRS50-J0227-0605,GNIRS50-J0227-0605_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0300-2232,1,1,HZA-GNIRS50-J0300-2232,GNIRS50-J0300-2232_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0353-0104,1,1,HZA-GNIRS50-J0353-0104,GNIRS50-J0353-0104_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0810-5105,1,1,HZA-GNIRS50-J0810-5105,GNIRS50-J0810-5105_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0835-3217,1,1,HZA-GNIRS50-J0835-3217,GNIRS50-J0835-3217_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0840-5624,1,1,HZA-GNIRS50-J0840-5624,GNIRS50-J0840-5624_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0841-2905,1,1,HZA-GNIRS50-J0841-2905,GNIRS50-J0841-2905_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0850-3246,1,1,HZA-GNIRS50-J0850-3246,GNIRS50-J0850-3246_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1044-0125,1,1,HZA-GNIRS50-J1044-0125,GNIRS50-J1044-0125_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1137-3549,1,1,HZA-GNIRS50-J1137-3549,GNIRS50-J1137-3549_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1143-3808,1,1,HZA-GNIRS50-J1143-3808,GNIRS50-J1143-3808_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1148-0702,1,1,HZA-GNIRS50-J1148-0702,GNIRS50-J1148-0702_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1148-5251,1,1,HZA-GNIRS50-J1148-5251,GNIRS50-J1148-5251_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1207-0630,1,1,HZA-GNIRS50-J1207-0630,GNIRS50-J1207-0630_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1243-2529,1,1,HZA-GNIRS50-J1243-2529,GNIRS50-J1243-2529_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1250-3130,1,1,HZA-GNIRS50-J1250-3130,GNIRS50-J1250-3130_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1257-6349,1,1,HZA-GNIRS50-J1257-6349,GNIRS50-J1257-6349_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1335-3533,1,1,HZA-GNIRS50-J1335-3533,GNIRS50-J1335-3533_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1403-0902,1,1,HZA-GNIRS50-J1403-0902,GNIRS50-J1403-0902_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1425-3254,1,1,HZA-GNIRS50-J1425-3254,GNIRS50-J1425-3254_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1427-3312,1,1,HZA-GNIRS50-J1427-3312,GNIRS50-J1427-3312_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1429-5447,1,1,HZA-GNIRS50-J1429-5447,GNIRS50-J1429-5447_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1436-5007,1,1,HZA-GNIRS50-J1436-5007,GNIRS50-J1436-5007_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1545-6028,1,1,HZA-GNIRS50-J1545-6028,GNIRS50-J1545-6028_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1602-4228,1,1,HZA-GNIRS50-J1602-4228,GNIRS50-J1602-4228_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1609-3041,1,1,HZA-GNIRS50-J1609-3041,GNIRS50-J1609-3041_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1621-5155,1,1,HZA-GNIRS50-J1621-5155,GNIRS50-J1621-5155_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1623-3112,1,1,HZA-GNIRS50-J1623-3112,GNIRS50-J1623-3112_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J1630-4012,1,1,HZA-GNIRS50-J1630-4012,GNIRS50-J1630-4012_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J2307-0031,1,1,HZA-GNIRS50-J2307-0031,GNIRS50-J2307-0031_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J2329-0403,1,1,HZA-GNIRS50-J2329-0403,GNIRS50-J2329-0403_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J2356-0023,1,1,HZA-GNIRS50-J2356-0023,GNIRS50-J2356-0023_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-P000-26,1,1,HZA-GNIRS50-P000-26,GNIRS50-P000-26_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-P210-27,1,1,HZA-GNIRS50-P210-27,GNIRS50-P210-27_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-P228-21,1,1,HZA-GNIRS50-P228-21,GNIRS50-P228-21_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-P333-26,1,1,HZA-GNIRS50-P333-26,GNIRS50-P333-26_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GOODS-N-12839,1,1,HZA-GOODS-N-12839,GOODSN12839_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GOODS-N-13733,1,1,HZA-GOODS-N-13733,GOODSN13733_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GOODS-N-14409,1,1,HZA-GOODS-N-14409,GOODSN14409_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GOODS-N-15498,1,1,HZA-GOODS-N-15498,GOODSN15498_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GOODS-N-16813,1,1,HZA-GOODS-N-16813,GOODSN16813_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GOODS-N-4014,1,1,HZA-GOODS-N-4014,GOODSN4014_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GOODS-N-9771,1,1,HZA-GOODS-N-9771,GOODSN9771_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GS-10013704,1,1,HZA-GS-10013704,GS10013704_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GS-159717,1,1,HZA-GS-159717,GS159717_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GS-164055,1,1,HZA-GS-164055,GS164055_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
