log_seed,epsilon,rate,nearby_primary,median_distance_dex,selected_full
5,0.057190958,0.6,0,7.7931969,False
5,0.057190958,0.7,0,9.4670169,False
5,0.057190958,0.8,0,11.136661,False
5,0.057190958,0.9,0,12.829265,False
5,0.057190958,1,0,14.49823,False
5,0.057190958,1.1,0,16.160553,False
5,0.057190958,1.2,0,17.805002,False
5,0.057190958,1.3,0,19.484585,False
5,0.057190958,1.4,0,21.138108,False
5,0.057190958,1.5,0,22.769376,False
5,0.057190958,1.6,0,24.435193,False
5,0.057190958,1.7,0,26.106569,False
5,0.057190958,1.8,0,27.758132,False
5,0.057190958,1.9,0,29.410685,False
5,0.057190958,2,0,31.097765,False
5,0.42264973,0.1,14,1.7645567,False
5,0.42264973,0.2,17,1.6323599,False
5,0.42264973,0.3,22,1.4943607,False
5,0.42264973,0.4,31,1.3595978,False
5,0.42264973,0.5,42,1.2199071,False
5,0.42264973,0.6,54,1.0923353,False
5,0.42264973,0.7,61,0.94882993,False
5,0.42264973,0.8,71,0.83115433,False
5,0.42264973,0.9,76,0.72262717,False
5,0.42264973,1,89,0.61600889,False
5,0.42264973,1.1,105,0.5662461,False
5,0.42264973,1.2,114,0.47860821,False
5,0.42264973,1.3,127,0.42702807,True
5,0.42264973,1.4,126,0.41534485,True
5,0.42264973,1.5,125,0.38198438,False
5,0.42264973,1.6,125,0.4317587,False
5,0.42264973,1.7,115,0.46610152,False
5,0.42264973,1.8,107,0.53664978,False
5,0.42264973,1.9,99,0.60631012,False
5,0.42264973,2,93,0.68880564,False
