science_release,input_catalogue_release,object_class,n_objects,z_seed,spin,spin_case,thin_disk_epsilon,effective_epsilon,merger_boost,merger_case,f_edd_avg,seed_model,seed_log_mass_min,seed_log_mass_max,n_compatible,compatible_object_fraction,median_required_log_mseed,min_required_log_mseed,max_required_log_mseed,comparison_scope,demographic_inference_allowed
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,2.0,merger_boost_x2,0.1,light_popiii,1.0,2.0,0,0.0,4.3681227823392055,2.5371452672678556,6.520993905036471,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,2.0,merger_boost_x2,0.1,pbh,2.0,6.0,109,0.9732142857142857,4.3681227823392055,2.5371452672678556,6.520993905036471,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,2.0,merger_boost_x2,0.3,heavy_dcbh,4.0,6.0,0,0.0,-0.9246954956274993,-4.509959886868472,3.687589077524608,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,2.0,merger_boost_x2,0.3,intermediate_cluster,3.0,4.0,3,0.026785714285714284,-0.9246954956274993,-4.509959886868472,3.687589077524608,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,2.0,merger_boost_x2,0.3,light_popiii,1.0,2.0,4,0.03571428571428571,-0.9246954956274993,-4.509959886868472,3.687589077524608,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,2.0,merger_boost_x2,0.3,pbh,2.0,6.0,8,0.07142857142857142,-0.9246954956274993,-4.509959886868472,3.687589077524608,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,2.0,merger_boost_x2,0.5,heavy_dcbh,4.0,6.0,0,0.0,-6.076684357331308,-11.557065041004797,1.4600017929836673,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,2.0,merger_boost_x2,0.5,intermediate_cluster,3.0,4.0,0,0.0,-6.076684357331308,-11.557065041004797,1.4600017929836673,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,2.0,merger_boost_x2,0.5,light_popiii,1.0,2.0,1,0.008928571428571428,-6.076684357331308,-11.557065041004797,1.4600017929836673,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,2.0,merger_boost_x2,0.5,pbh,2.0,6.0,0,0.0,-6.076684357331308,-11.557065041004797,1.4600017929836673,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,2.0,merger_boost_x2,1.0,heavy_dcbh,4.0,6.0,0,0.0,-19.284174889813432,-29.174827926345614,-4.108966418368684,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,2.0,merger_boost_x2,1.0,intermediate_cluster,3.0,4.0,0,0.0,-19.284174889813432,-29.174827926345614,-4.108966418368684,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,2.0,merger_boost_x2,1.0,light_popiii,1.0,2.0,0,0.0,-19.284174889813432,-29.174827926345614,-4.108966418368684,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.037749551350623745,2.0,merger_boost_x2,1.0,pbh,2.0,6.0,0,0.0,-19.284174889813432,-29.174827926345614,-4.108966418368684,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.027774567710680258,2.0,merger_boost_x2,2.0,heavy_dcbh,4.0,6.0,0,0.0,-65.45180300297187,-90.79756893056458,-23.560931013458294,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.027774567710680258,2.0,merger_boost_x2,2.0,intermediate_cluster,3.0,4.0,0,0.0,-65.45180300297187,-90.79756893056458,-23.560931013458294,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.027774567710680258,2.0,merger_boost_x2,2.0,light_popiii,1.0,2.0,0,0.0,-65.45180300297187,-90.79756893056458,-23.560931013458294,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.027774567710680258,2.0,merger_boost_x2,2.0,pbh,2.0,6.0,0,0.0,-65.45180300297187,-90.79756893056458,-23.560931013458294,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.015326538672275158,2.0,merger_boost_x2,3.0,heavy_dcbh,4.0,6.0,0,0.0,-192.28699119360243,-261.26155906353586,-77.18765037619626,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.015326538672275158,2.0,merger_boost_x2,3.0,intermediate_cluster,3.0,4.0,0,0.0,-192.28699119360243,-261.26155906353586,-77.18765037619626,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.015326538672275158,2.0,merger_boost_x2,3.0,light_popiii,1.0,2.0,0,0.0,-192.28699119360243,-261.26155906353586,-77.18765037619626,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,-1.0,spin_minus1_eps0p038,0.037749551350623745,0.015326538672275158,2.0,merger_boost_x2,3.0,pbh,2.0,6.0,0,0.0,-192.28699119360243,-261.26155906353586,-77.18765037619626,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,0.1,heavy_dcbh,4.0,6.0,85,0.7589285714285714,5.619503274234618,4.041426588432324,7.439539150151399,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,0.1,intermediate_cluster,3.0,4.0,0,0.0,5.619503274234618,4.041426588432324,7.439539150151399,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,0.1,light_popiii,1.0,2.0,0,0.0,5.619503274234618,4.041426588432324,7.439539150151399,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,0.1,pbh,2.0,6.0,85,0.7589285714285714,5.619503274234618,4.041426588432324,7.439539150151399,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,0.3,heavy_dcbh,4.0,6.0,10,0.08928571428571429,2.1415011427496875,-0.47458687109051567,5.1786174504541975,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,0.3,intermediate_cluster,3.0,4.0,13,0.11607142857142858,2.1415011427496875,-0.47458687109051567,5.1786174504541975,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,0.3,light_popiii,1.0,2.0,35,0.3125,2.1415011427496875,-0.47458687109051567,5.1786174504541975,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,0.3,pbh,2.0,6.0,59,0.5267857142857143,2.1415011427496875,-0.47458687109051567,5.1786174504541975,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,0.5,heavy_dcbh,4.0,6.0,0,0.0,-1.1894193963486495,-5.032130011817529,3.7284058251666203,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,0.5,intermediate_cluster,3.0,4.0,2,0.017857142857142856,-1.1894193963486495,-5.032130011817529,3.7284058251666203,within_object_class_descriptive_only,False
