release,physical_object_id,object_id,object_class,growth_ranking_eligible_flag,product_kind,product_status,status_reason,path
v2,HZA-GN-11836,GN-11836,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-gn-11836.png
v2,HZA-RUBIES-UDS-63139,RUBIES-UDS-63139,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-rubies-uds-63139.png
v2,HZA-RUBIES-UDS-63139,RUBIES-UDS-63139,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-rubies-uds-63139.png
v2,HZA-GN-53757,GN-53757,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-gn-53757.png
v2,HZA-GN-53757,GN-53757,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-gn-53757.png
v2,HZA-RUBIES-UDS-48507,RUBIES-UDS-48507,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-rubies-uds-48507.png
v2,HZA-RUBIES-UDS-48507,RUBIES-UDS-48507,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-rubies-uds-48507.png
v2,HZA-J2232P2930-BHAE-2,J2232P2930-BHAE-2,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j2232p2930-bhae-2.png
v2,HZA-J2232P2930-BHAE-2,J2232P2930-BHAE-2,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j2232p2930-bhae-2.png
v2,HZA-CEERS-1244,CEERS-1244,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-ceers-1244.png
v2,HZA-CEERS-1244,CEERS-1244,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-ceers-1244.png
v2,HZA-CEERS-01665,CEERS-01665,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-ceers-01665.png
v2,HZA-CEERS-01665,CEERS-01665,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-ceers-01665.png
