measurement_id,physical_object_id,preferred_measurement_flag,preferred_measurement_reason,match_method,match_reference
RUBIESUDS19484_taylor24,HZA-RUBIES-UDS-19484,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS19521_taylor24,HZA-RUBIES-UDS-19521,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS29813_taylor24,HZA-RUBIES-UDS-29813,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS30969_taylor24,HZA-RUBIES-UDS-30969,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS31747_taylor24,HZA-RUBIES-UDS-31747,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS35974_taylor24,HZA-RUBIES-UDS-35974,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS47509_taylor24,HZA-RUBIES-UDS-47509,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS48507_taylor24,HZA-RUBIES-UDS-48507,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS63139_taylor24,HZA-RUBIES-UDS-63139,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS807469_taylor24,HZA-RUBIES-UDS-807469,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS970351_taylor24,HZA-RUBIES-UDS-970351,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
