measurement_id,object_id,redshift,redshift_kind,survey,object_class,quality_flag,detection_evidence,source_key,source_table,missing_mstar_flag,missing_lbol_flag,missing_edd_ratio_flag,missing_lensing_flag,edd_ratio_from_mbh_lbol,edd_ratio_log_residual_dex,edd_ratio_consistency_flag,z_seed,delta_t_gyr,interpretation_variant,mbh_delta_dex,mstar_agn_fraction,log_mbh_eval,log_mstar_eval,log_mbh_mstar_ratio_eval,growth_config,f_edd_avg,epsilon,merger_boost,required_log_mseed,required_mseed_msun,required_mseed_label
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,fedd2_spin_0_eps0p057_no_merger_boost,2.0,0.057190958417936644,1.0,-19.818983063687188,1.517109529483344e-20,light_seed_scale
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,fedd2_spin_0_eps0p057_merger_boost_x2,2.0,0.057190958417936644,2.0,-20.12001305935117,7.585547647416718e-21,light_seed_scale
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,fedd2_spin_plus1_eps0p423_no_merger_boost,2.0,0.42264973081037416,1.0,4.887746004346549,77222.88175987315,heavy_seed_scale
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,baseline,0.0,0.0,7.12,8.95,-1.8299999999999992,fedd2_spin_plus1_eps0p423_merger_boost_x2,2.0,0.42264973081037416,2.0,4.586716008682568,38611.44087993657,heavy_seed_scale
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,mbh_minus_0p3dex,-0.3,0.0,6.82,8.95,-2.129999999999999,fedd0p3_eps0p1_no_merger_boost,0.3,0.1,1.0,4.613933490707103,41108.676109789376,heavy_seed_scale
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,mbh_minus_0p3dex,-0.3,0.0,6.82,8.95,-2.129999999999999,fedd0p3_eps0p1_merger_boost_x2,0.3,0.1,2.0,4.3129034950431215,20554.338054894684,heavy_seed_scale
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,mbh_minus_0p3dex,-0.3,0.0,6.82,8.95,-2.129999999999999,fedd0p3_spin_minus1_eps0p038_no_merger_boost,0.3,0.037749551350623745,1.0,0.571836004617019,3.7310924017074854,light_seed_scale
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,mbh_minus_0p3dex,-0.3,0.0,6.82,8.95,-2.129999999999999,fedd0p3_spin_minus1_eps0p038_merger_boost_x2,0.3,0.037749551350623745,2.0,0.27080600895303775,1.8655462008537425,light_seed_scale
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,mbh_minus_0p3dex,-0.3,0.0,6.82,8.95,-2.129999999999999,fedd0p3_spin_0_eps0p057_no_merger_boost,0.3,0.057190958417936644,1.0,2.7791525404469217,601.3849292462758,intermediate_seed_scale
GS30148179_juodzbalis25,GS-30148179,5.922,spec,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",False,False,False,True,0.1070605462374333,0.0117632302757858,consistent,30.0,0.846609309741873,mbh_minus_0p3dex,-0.3,0.0,6.82,8.95,-2.129999999999999,fedd0p3_spin_0_eps0p057_merger_boost_x2,0.3,0.057190958417936644,2.0,2.4781225447829405,300.6924646231378,intermediate_seed_scale
