measurement_id,object_id,redshift,quality_flag,detection_evidence,mbh_method,scenario,scenario_label,mbh_delta_dex,n_samples,random_seed,z_seed,epsilon,merger_boost,growth_history,f_edd_avg,log_mbh_err_plus_reported,log_mbh_err_minus_reported,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,mbh_uncertainty_mode,log_mbh_sample_p5,log_mbh_sample_p16,log_mbh_sample_p50,log_mbh_sample_p84,log_mbh_sample_p95,required_log_mseed_p5,required_log_mseed_p16,required_log_mseed_p50,required_log_mseed_p84,required_log_mseed_p95,required_mseed_msun_p5,required_mseed_msun_p16,required_mseed_msun_p50,required_mseed_msun_p84,required_mseed_msun_p95,p_required_mseed_gt1e5,p_required_mseed_gt1e6,prob_required_mseed_gt_1e5,prob_required_mseed_gt_1e6
GN77652_juodzbalis25,GN-77652,5.229,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.34,0.32,0.34,0.32,asymmetric,5.79101319744108,6.00234973940133,6.31416073899687,6.66128221129428,6.882677670162591,3.1632414371255484,3.374577979085798,3.6863889786813386,4.033510450978747,4.25490590984706,1456.2684396864618,2369.0705294999966,4857.233503529069,10802.156155998506,17984.81232568282,0.0001,0.0,0.0001,0.0
GN77652_juodzbalis25,GN-77652,5.229,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.34,0.32,0.34,0.32,asymmetric,5.79101319744108,6.00234973940133,6.31416073899687,6.66128221129428,6.882677670162591,-2.968226003610695,-2.756889461650445,-2.4450784620549046,-2.097956989757496,-1.8765615308891834,0.0010759051759804301,0.0017502921683179018,0.003588570983875499,0.007980737207001437,0.013287352896561334,0.0,0.0,0.0,0.0
GN77652_juodzbalis25,GN-77652,5.229,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.34,0.32,0.34,0.32,asymmetric,6.3910131974410795,6.60234973940133,6.91416073899687,7.261282211294279,7.482677670162591,3.763241437125548,3.974577979085798,4.286388978681338,4.633510450978747,4.8549059098470595,5797.509080899331,9431.439653409185,19336.994868076064,43004.15823141604,71598.82747913244,0.0186,0.0,0.0186,0.0
GN77652_juodzbalis25,GN-77652,5.229,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.34,0.32,0.34,0.32,asymmetric,6.3910131974410795,6.60234973940133,6.91416073899687,7.261282211294279,7.482677670162591,-2.3682260036106952,-2.1568894616504455,-1.845078462054905,-1.4979569897574962,-1.2765615308891838,0.004283255653934313,0.006968038627709848,0.014286358407210535,0.03177188708410359,0.05289790465795845,0.0,0.0,0.0,0.0
GN73488_juodzbalis25,GN-73488,4.133,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.3,0.3,0.3,0.3,symmetric_reported,7.328019498787276,7.537127829356999,7.831645754518471,8.135457025040624,8.323793312427203,3.7319407950524393,3.941049125622162,4.235567050783635,4.5393783213057874,4.727714608692365,5394.37106938734,8730.70139155669,17201.528994033215,34624.08631061582,53421.31995873301,0.007,0.0,0.007,0.0
GN73488_juodzbalis25,GN-73488,4.133,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.3,0.3,0.3,0.3,symmetric_reported,7.328019498787276,7.537127829356999,7.831645754518471,8.135457025040624,8.323793312427203,-4.6589095136621825,-4.449801183092459,-4.1552832579309875,-3.851471987408834,-3.6631357000222566,2.1932619727135877e-05,3.54975864858212e-05,6.993856916748614e-05,0.00014077580290310204,0.00021720224302434132,0.0,0.0,0.0,0.0
GN73488_juodzbalis25,GN-73488,4.133,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.3,0.3,0.3,0.3,symmetric_reported,7.028019498787276,7.237127829356999,7.531645754518472,7.835457025040625,8.023793312427202,3.4319407950524394,3.641049125622162,3.9355670507836344,4.239378321305788,4.427714608692364,2703.5899134252327,4375.716078060076,8621.186730678826,17353.150034889462,26774.08356683474,0.0002,0.0,0.0002,0.0
GN73488_juodzbalis25,GN-73488,4.133,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.3,0.3,0.3,0.3,symmetric_reported,7.028019498787276,7.237127829356999,7.531645754518472,7.835457025040625,8.023793312427202,-4.958909513662182,-4.749801183092459,-4.4552832579309865,-4.151471987408834,-3.9631357000222573,1.0992349007242175e-05,1.779093717127358e-05,3.505231800490202e-05,7.055503521866386e-05,0.00010885899131900795,0.0,0.0,0.0,0.0
GN73488_juodzbalis25,GN-73488,4.133,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.3,0.3,0.3,0.3,symmetric_reported,7.628019498787276,7.837127829356999,8.131645754518471,8.435457025040625,8.623793312427203,4.031940795052439,4.241049125622162,4.5355670507836345,4.839378321305788,5.027714608692365,10763.185307706932,17420.039469819414,34321.56256163903,69084.13460580174,106589.546529555,0.0607,0.0,0.0607,0.0
GN73488_juodzbalis25,GN-73488,4.133,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.3,0.3,0.3,0.3,symmetric_reported,7.628019498787276,7.837127829356999,8.131645754518471,8.435457025040625,8.623793312427203,-4.358909513662183,-4.1498011830924595,-3.855283257930987,-3.551471987408833,-3.363135700022256,4.376132961009723e-05,7.082699658750759e-05,0.00013954579142272958,0.00028088465439204654,0.00043337545023318114,0.0,0.0,0.0,0.0
