measurement_id,object_id,redshift,quality_flag,scenario,scenario_label,mbh_delta_dex,n_samples,random_seed,z_seed,epsilon,merger_boost,seed_mass_assumption,seed_mass_short,log_mseed_assumption,mseed_assumption_msun,log_mbh_err_plus_reported,log_mbh_err_minus_reported,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,mbh_uncertainty_mode,log_mbh_sample_p5,log_mbh_sample_p16,log_mbh_sample_p50,log_mbh_sample_p84,log_mbh_sample_p95,required_fedd_p5,required_fedd_p16,required_fedd_p50,required_fedd_p84,required_fedd_p95,p_required_fedd_gt1,prob_required_fedd_gt_1
GS210600_juodzbalis25,GS-210600,6.306,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.33,0.34,0.33,0.34,asymmetric,7.14319137201632,7.371784770283726,7.710327131384718,8.043220472876818,8.255319097983197,0.3191569629172258,0.35319833490414027,0.40361294239024986,0.4531863165803624,0.4847713415630758,0.0,0.0
GS204851_juodzbalis25,GS-204851,5.48,robust,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.32,0.31,0.32,0.31,asymmetric,7.156196680256945,7.366119415523755,7.67861977811892,8.002716351309939,8.213329356064044,0.628282256007664,0.6538613287000886,0.6919394791256304,0.7314306271162573,0.7570938091042779,0.0,0.0
GS204851_juodzbalis25,GS-204851,5.48,robust,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,seed_1e4_msun,seed1e4,4.0,10000.0,0.32,0.31,0.32,0.31,asymmetric,7.156196680256945,7.366119415523755,7.67861977811892,8.002716351309939,8.213329356064044,0.3845823760502707,0.4101614487426952,0.448239599168237,0.487730747158864,0.5133939291468845,0.0,0.0
GS204851_juodzbalis25,GS-204851,5.48,robust,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.32,0.31,0.32,0.31,asymmetric,7.156196680256945,7.366119415523755,7.67861977811892,8.002716351309939,8.213329356064044,0.262732436071574,0.2883115087639985,0.3263896591895403,0.3658808071801673,0.3915439891681879,0.0,0.0
GS204851_juodzbalis25,GS-204851,5.48,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.32,0.31,0.32,0.31,asymmetric,6.856196680256946,7.066119415523755,7.378619778118921,7.702716351309939,7.913329356064044,0.591727274014055,0.6173063467064797,0.6553844971320213,0.6948756451226484,0.720538827110669,0.0,0.0
GS204851_juodzbalis25,GS-204851,5.48,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e4_msun,seed1e4,4.0,10000.0,0.32,0.31,0.32,0.31,asymmetric,6.856196680256946,7.066119415523755,7.378619778118921,7.702716351309939,7.913329356064044,0.34802739405666167,0.3736064667490862,0.411684617174628,0.4511757651652549,0.47683894715327557,0.0,0.0
GS204851_juodzbalis25,GS-204851,5.48,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.32,0.31,0.32,0.31,asymmetric,6.856196680256946,7.066119415523755,7.378619778118921,7.702716351309939,7.913329356064044,0.22617745407796494,0.25175652677038957,0.28983467719593126,0.32932582518655823,0.3549890071745789,0.0,0.0
GS204851_juodzbalis25,GS-204851,5.48,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.32,0.31,0.32,0.31,asymmetric,7.456196680256945,7.666119415523755,7.9786197781189205,8.30271635130994,8.513329356064045,0.664837238001273,0.6904163106936975,0.7284944611192394,0.7679856091098664,0.7936487910978871,0.0,0.0
GS204851_juodzbalis25,GS-204851,5.48,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e4_msun,seed1e4,4.0,10000.0,0.32,0.31,0.32,0.31,asymmetric,7.456196680256945,7.666119415523755,7.9786197781189205,8.30271635130994,8.513329356064045,0.4211373580438796,0.4467164307363042,0.4847945811618459,0.524285729152473,0.5499489111404937,0.0,0.0
GS204851_juodzbalis25,GS-204851,5.48,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.32,0.31,0.32,0.31,asymmetric,7.456196680256945,7.666119415523755,7.9786197781189205,8.30271635130994,8.513329356064045,0.2992874180651829,0.3248664907576075,0.3629446411831493,0.4024357891737763,0.42809897116179696,0.0,0.0
GS172975_juodzbalis25,GS-172975,4.741,robust,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.32,0.32,0.32,0.32,symmetric_reported,6.712401111738263,6.922383442310792,7.252346193824838,7.574150513196184,7.7813973669373935,0.4708611939067868,0.49184254259258237,0.5248122859227212,0.5569668420461621,0.5776748630045087,0.0,0.0
GS172975_juodzbalis25,GS-172975,4.741,robust,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,seed_1e4_msun,seed1e4,4.0,10000.0,0.32,0.32,0.32,0.32,symmetric_reported,6.712401111738263,6.922383442310792,7.252346193824838,7.574150513196184,7.7813973669373935,0.2710220109756461,0.2920033596614417,0.32497310299158055,0.35712765911502137,0.3778356800733679,0.0,0.0
GS172975_juodzbalis25,GS-172975,4.741,robust,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.32,0.32,0.32,0.32,symmetric_reported,6.712401111738263,6.922383442310792,7.252346193824838,7.574150513196184,7.7813973669373935,0.1711024195100757,0.19208376819587125,0.2250535115260102,0.2572080676494509,0.2779160886077975,0.0,0.0
GS172975_juodzbalis25,GS-172975,4.741,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.32,0.32,0.32,0.32,symmetric_reported,6.412401111738263,6.622383442310793,6.952346193824837,7.274150513196184,7.481397366937394,0.44088531646711576,0.4618666651529113,0.4948364084830502,0.526990964606491,0.5476989855648375,0.0,0.0
GS172975_juodzbalis25,GS-172975,4.741,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e4_msun,seed1e4,4.0,10000.0,0.32,0.32,0.32,0.32,symmetric_reported,6.412401111738263,6.622383442310793,6.952346193824837,7.274150513196184,7.481397366937394,0.24104613353597495,0.2620274822217706,0.29499722555190944,0.32715178167535025,0.34785980263369676,0.0,0.0
GS172975_juodzbalis25,GS-172975,4.741,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.32,0.32,0.32,0.32,symmetric_reported,6.412401111738263,6.622383442310793,6.952346193824837,7.274150513196184,7.481397366937394,0.1411265420704046,0.16210789075620016,0.19507763408633907,0.2272321902097799,0.24794021116812642,0.0,0.0
GS172975_juodzbalis25,GS-172975,4.741,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.32,0.32,0.32,0.32,symmetric_reported,7.012401111738263,7.222383442310792,7.552346193824837,7.8741505131961835,8.081397366937393,0.5008370713464578,0.5218184200322535,0.5547881633623923,0.5869427194858332,0.6076507404441797,0.0,0.0
GS172975_juodzbalis25,GS-172975,4.741,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e4_msun,seed1e4,4.0,10000.0,0.32,0.32,0.32,0.32,symmetric_reported,7.012401111738263,7.222383442310792,7.552346193824837,7.8741505131961835,8.081397366937393,0.3009978884153172,0.32197923710111276,0.35494898043125167,0.3871035365546925,0.4078115575130389,0.0,0.0
GS172975_juodzbalis25,GS-172975,4.741,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.32,0.32,0.32,0.32,symmetric_reported,7.012401111738263,7.222383442310792,7.552346193824837,7.8741505131961835,8.081397366937393,0.2010782969497468,0.22205964563554234,0.2550293889656812,0.287183945089122,0.3078919660474686,0.0,0.0
GS159717_juodzbalis25,GS-159717,5.077,robust,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.3,0.3,0.3,0.3,symmetric_reported,6.946796388135258,7.145452764897301,7.436990080118415,7.739894780879239,7.9369721393014165,0.5423190625074243,0.5640978323523105,0.5960591727979896,0.6292667237980066,0.6508723852958804,0.0,0.0
GS159717_juodzbalis25,GS-159717,5.077,robust,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,seed_1e4_msun,seed1e4,4.0,10000.0,0.3,0.3,0.3,0.3,symmetric_reported,6.946796388135258,7.145452764897301,7.436990080118415,7.739894780879239,7.9369721393014165,0.3230583450830483,0.3448371149279346,0.37679845537361356,0.41000600637363066,0.4316116678715044,0.0,0.0
GS159717_juodzbalis25,GS-159717,5.077,robust,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.3,0.3,0.3,0.3,symmetric_reported,6.946796388135258,7.145452764897301,7.436990080118415,7.739894780879239,7.9369721393014165,0.21342798637086038,0.2352067562157466,0.2671680966614256,0.3003756476614427,0.32198130915931644,0.0,0.0
GS159717_juodzbalis25,GS-159717,5.077,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.3,0.3,0.3,0.3,symmetric_reported,6.646796388135258,6.845452764897301,7.136990080118416,7.439894780879239,7.636972139301417,0.509429954893768,0.5312087247386541,0.5631700651843332,0.5963776161843501,0.6179832776822239,0.0,0.0
GS159717_juodzbalis25,GS-159717,5.077,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e4_msun,seed1e4,4.0,10000.0,0.3,0.3,0.3,0.3,symmetric_reported,6.646796388135258,6.845452764897301,7.136990080118416,7.439894780879239,7.636972139301417,0.29016923746939194,0.31194800731427824,0.3439093477599572,0.3771168987599743,0.3987225602578481,0.0,0.0
GS159717_juodzbalis25,GS-159717,5.077,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.3,0.3,0.3,0.3,symmetric_reported,6.646796388135258,6.845452764897301,7.136990080118416,7.439894780879239,7.636972139301417,0.180538878757204,0.2023176486020902,0.23427898904776923,0.2674865400477863,0.28909220154566007,0.0,0.0
GS159717_juodzbalis25,GS-159717,5.077,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.3,0.3,0.3,0.3,symmetric_reported,7.246796388135258,7.445452764897301,7.7369900801184155,8.039894780879239,8.236972139301416,0.5752081701210807,0.596986939965967,0.628948280411646,0.662155831411663,0.6837614929095369,0.0,0.0
GS159717_juodzbalis25,GS-159717,5.077,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e4_msun,seed1e4,4.0,10000.0,0.3,0.3,0.3,0.3,symmetric_reported,7.246796388135258,7.445452764897301,7.7369900801184155,8.039894780879239,8.236972139301416,0.35594745269670475,0.377726222541591,0.40968756298727,0.4428951139872871,0.46450077548516094,0.0,0.0
GS159717_juodzbalis25,GS-159717,5.077,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.3,0.3,0.3,0.3,symmetric_reported,7.246796388135258,7.445452764897301,7.7369900801184155,8.039894780879239,8.236972139301416,0.24631709398451676,0.2680958638294029,0.300057204275082,0.3332647552750991,0.35487041677297293,0.0,0.0
GN77652_juodzbalis25,GN-77652,5.229,robust,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.34,0.32,0.34,0.32,asymmetric,6.09101319744108,6.30234973940133,6.614160738996871,6.96128221129428,7.182677670162591,0.467051201998211,0.4911784734551741,0.5267764280764042,0.5664056086855749,0.5916812580640881,0.0,0.0
