interpretation_variant,growth_config,seed_model,n_rows,n_objects,median_required_fedd,max_required_fedd,median_required_log_mseed,min_required_log_mseed,max_required_log_mseed,feasible_seed_model_fraction,mean_feasibility_score,median_feasibility_score
mbh_plus_0p3dex,subeddington_eps0p1,intermediate_cluster,23,23,0.501651610297326,1.0660602528950898,5.083783104175753,3.1035370724932916,7.046079920770793,0.13043478260869565,0.5018586093469346,0.4
mbh_plus_0p3dex,subeddington_eps0p1,light_popiii,23,23,0.7562970977578976,1.582312191343075,5.083783104175753,3.1035370724932916,7.046079920770793,0.0,0.38587583609937837,0.4
mbh_plus_0p3dex,subeddington_eps0p1,pbh,23,23,0.4379902384321831,0.9369972682830934,5.083783104175753,3.1035370724932916,7.046079920770793,0.7391304347826086,0.8981104421021676,1.0
mbh_plus_0p3dex,supercritical_eps0p05,heavy_dcbh,23,23,0.1471582869640566,0.32157061534378456,-26.153519493025133,-41.72063699193672,-8.72721595512277,0.0,0.4,0.4
mbh_plus_0p3dex,supercritical_eps0p05,intermediate_cluster,23,23,0.23762444698294388,0.5049759092660951,-26.153519493025133,-41.72063699193672,-8.72721595512277,0.0,0.4,0.4
mbh_plus_0p3dex,supercritical_eps0p05,light_popiii,23,23,0.3582459936747936,0.7495163011625093,-26.153519493025133,-41.72063699193672,-8.72721595512277,0.0,0.4,0.4
mbh_plus_0p3dex,supercritical_eps0p05,pbh,23,23,0.20746906030998147,0.4438408112919916,-26.153519493025133,-41.72063699193672,-8.72721595512277,0.0,0.4,0.4
mstar_agn_20pct,eddington_eps0p1,heavy_dcbh,23,23,0.2724706715828116,0.6014335082919029,-0.7140563194141549,-4.794876425022362,3.4559225369446063,0.0,0.4,0.4
mstar_agn_20pct,eddington_eps0p1,intermediate_cluster,23,23,0.46345478717824024,0.9886224621278917,-0.7140563194141549,-4.794876425022362,3.4559225369446063,0.043478260869565216,0.43695368427145354,0.4
mstar_agn_20pct,eddington_eps0p1,light_popiii,23,23,0.718100274638812,1.504874400575877,-0.7140563194141549,-4.794876425022362,3.4559225369446063,0.043478260869565216,0.4523276103959127,0.4
mstar_agn_20pct,eddington_eps0p1,pbh,23,23,0.3997934153130973,0.8595594775158956,-0.7140563194141549,-4.794876425022362,3.4559225369446063,0.21739130434782608,0.5423514670869237,0.4
mstar_agn_20pct,merger_boost_x2,heavy_dcbh,23,23,0.23728380545918518,0.537683099423549,-1.0150863150781362,-5.095906420686343,3.154892541280625,0.0,0.4,0.4
mstar_agn_20pct,merger_boost_x2,intermediate_cluster,23,23,0.42512682218518605,0.9109188027316323,-1.0150863150781362,-5.095906420686343,3.154892541280625,0.043478260869565216,0.42608695652173917,0.4
mstar_agn_20pct,merger_boost_x2,light_popiii,23,23,0.6797723096457577,1.4271707411796175,-1.0150863150781362,-5.095906420686343,3.154892541280625,0.08695652173913043,0.48505621095707613,0.4
mstar_agn_20pct,merger_boost_x2,pbh,23,23,0.36146545032004324,0.7818558181196361,-1.0150863150781362,-5.095906420686343,3.154892541280625,0.17391304347826086,0.523592276056968,0.4
mstar_agn_20pct,subeddington_eps0p1,heavy_dcbh,23,23,0.2724706715828116,0.6014335082919029,4.783783104175754,2.8035370724932918,6.746079920770792,0.6956521739130435,0.8915163873095358,1.0
mstar_agn_20pct,subeddington_eps0p1,intermediate_cluster,23,23,0.46345478717824024,0.9886224621278917,4.783783104175754,2.8035370724932918,6.746079920770792,0.08695652173913043,0.5766766547803486,0.4
mstar_agn_20pct,subeddington_eps0p1,light_popiii,23,23,0.718100274638812,1.504874400575877,4.783783104175754,2.8035370724932918,6.746079920770792,0.0,0.38897218098415837,0.4
mstar_agn_20pct,subeddington_eps0p1,pbh,23,23,0.3997934153130973,0.8595594775158956,4.783783104175754,2.8035370724932918,6.746079920770792,0.8260869565217391,0.9613183823687713,1.0
mstar_agn_20pct,supercritical_eps0p05,heavy_dcbh,23,23,0.12906505496027915,0.28488955655932247,-26.453519493025134,-42.020636991936726,-9.027215955122768,0.0,0.4,0.4
mstar_agn_20pct,supercritical_eps0p05,intermediate_cluster,23,23,0.21953121497916642,0.46829485048163294,-26.453519493025134,-42.020636991936726,-9.027215955122768,0.0,0.4,0.4
mstar_agn_20pct,supercritical_eps0p05,light_popiii,23,23,0.3401527616710162,0.7128352423780471,-26.453519493025134,-42.020636991936726,-9.027215955122768,0.0,0.4,0.4
mstar_agn_20pct,supercritical_eps0p05,pbh,23,23,0.189375828306204,0.4071597525075295,-26.453519493025134,-42.020636991936726,-9.027215955122768,0.0,0.4,0.4
