interpretation_variant,growth_config,seed_model,n_rows,n_objects,median_required_fedd,max_required_fedd,median_required_log_mseed,min_required_log_mseed,max_required_log_mseed,feasible_seed_model_fraction,mean_feasibility_score,median_feasibility_score
mbh_minus_0p3dex,fedd1_spin_plus1_eps0p423_merger_boost_x2,light_popiii,23,23,4.163887893254224,8.760501490947076,5.40958672162861,3.7863127429839185,7.032232435943582,0.0,0.00945311886636015,0.0
mbh_minus_0p3dex,fedd1_spin_plus1_eps0p423_merger_boost_x2,pbh,23,23,2.0980451269392777,4.572056403442938,5.40958672162861,3.7863127429839185,7.032232435943582,0.782608695652174,0.7108627706964303,0.7803909746121445
mbh_minus_0p3dex,fedd1_spin_plus1_eps0p423_no_merger_boost,heavy_dcbh,23,23,1.540924664274221,3.4908389610248536,5.7106167172925915,4.0873427386479,7.333262431607563,0.6086956521739131,0.6978419377501939,0.8918150671451558
mbh_minus_0p3dex,fedd1_spin_plus1_eps0p423_no_merger_boost,intermediate_cluster,23,23,2.759965935796769,5.914084463555843,5.7106167172925915,4.0873427386479,7.333262431607563,0.0,0.12461620961769719,0.04800681284064617
mbh_minus_0p3dex,fedd1_spin_plus1_eps0p423_no_merger_boost,light_popiii,23,23,4.412640148848727,9.264840533559154,5.7106167172925915,4.0873427386479,7.333262431607563,0.0,0.006258259015944247,0.0
mbh_minus_0p3dex,fedd1_spin_plus1_eps0p423_no_merger_boost,pbh,23,23,2.34679738253378,5.076395446055016,5.7106167172925915,4.0873427386479,7.333262431607563,0.6086956521739131,0.5918179781227338,0.730640523493244
mbh_minus_0p3dex,fedd2_eps0p1_merger_boost_x2,heavy_dcbh,23,23,0.19513756786457725,0.4810654179931085,-9.407203091577742,-16.744888020562897,-1.1360695634214553,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_eps0p1_merger_boost_x2,intermediate_cluster,23,23,0.3811535201652565,0.8210944081128586,-9.407203091577742,-16.744888020562897,-1.1360695634214553,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_eps0p1_merger_boost_x2,light_popiii,23,23,0.6319974045217488,1.3296741762805735,-9.407203091577742,-16.744888020562897,-1.1360695634214553,0.0,0.3953437973945307,0.4
mbh_minus_0p3dex,fedd2_eps0p1_merger_boost_x2,pbh,23,23,0.31844254907613345,0.69394946607093,-9.407203091577742,-16.744888020562897,-1.1360695634214553,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_eps0p1_no_merger_boost,heavy_dcbh,23,23,0.23388247074628826,0.5298416334756031,-9.10617309591376,-16.443858024898915,-0.835039567757474,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_eps0p1_no_merger_boost,intermediate_cluster,23,23,0.41890928687534207,0.8976432908160166,-9.10617309591376,-16.443858024898915,-0.835039567757474,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_eps0p1_no_merger_boost,light_popiii,23,23,0.6697531712318343,1.4062230589837312,-9.10617309591376,-16.443858024898915,-0.835039567757474,0.0,0.3927306177656327,0.4
mbh_minus_0p3dex,fedd2_eps0p1_no_merger_boost,pbh,23,23,0.356198315786219,0.7704983487740878,-9.10617309591376,-16.443858024898915,-0.835039567757474,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_0_eps0p057_merger_boost_x2,heavy_dcbh,23,23,0.10653370548625615,0.2626335980351414,-22.985844648690353,-36.683896125275744,-7.6774066949975,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_0_eps0p057_merger_boost_x2,intermediate_cluster,23,23,0.20808754206937236,0.4482695505921903,-22.985844648690353,-36.683896125275744,-7.6774066949975,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_0_eps0p057_merger_boost_x2,light_popiii,23,23,0.3450336401042144,0.7259243754993477,-22.985844648690353,-36.683896125275744,-7.6774066949975,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_0_eps0p057_merger_boost_x2,pbh,23,23,0.17385101756066187,0.378855844365401,-22.985844648690353,-36.683896125275744,-7.6774066949975,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_0_eps0p057_no_merger_boost,heavy_dcbh,23,23,0.12768615766582989,0.28926256052458077,-22.684814653026372,-36.38286612961176,-7.376376699333519,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_0_eps0p057_no_merger_boost,intermediate_cluster,23,23,0.2286999837181862,0.49006076596113296,-22.684814653026372,-36.38286612961176,-7.376376699333519,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_0_eps0p057_no_merger_boost,light_popiii,23,23,0.36564608175302826,0.7677155908682902,-22.684814653026372,-36.38286612961176,-7.376376699333519,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_0_eps0p057_no_merger_boost,pbh,23,23,0.1944634592094757,0.4206470597343435,-22.684814653026372,-36.38286612961176,-7.376376699333519,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_minus1_eps0p038_merger_boost_x2,heavy_dcbh,23,23,0.06889807205588996,0.16985186499550825,-39.40877651992363,-60.67133849071891,-15.546902841073386,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_minus1_eps0p038_merger_boost_x2,intermediate_cluster,23,23,0.1345755355264371,0.28990738335996946,-39.40877651992363,-60.67133849071891,-15.546902841073386,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_minus1_eps0p038_merger_boost_x2,light_popiii,23,23,0.22314207967423982,0.4694738599581836,-39.40877651992363,-60.67133849071891,-15.546902841073386,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_minus1_eps0p038_merger_boost_x2,pbh,23,23,0.11243389948948643,0.24501576421041596,-39.40877651992363,-60.67133849071891,-15.546902841073386,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_minus1_eps0p038_no_merger_boost,heavy_dcbh,23,23,0.08257790387789535,0.18707349610274196,-39.107746524259646,-60.37030849505493,-15.245872845409405,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_minus1_eps0p038_no_merger_boost,intermediate_cluster,23,23,0.14790612872683057,0.31693483119584787,-39.107746524259646,-60.37030849505493,-15.245872845409405,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_minus1_eps0p038_no_merger_boost,light_popiii,23,23,0.23647267287463328,0.49650130779406193,-39.107746524259646,-60.37030849505493,-15.245872845409405,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_minus1_eps0p038_no_merger_boost,pbh,23,23,0.12576449268987985,0.27204321204629434,-39.107746524259646,-60.37030849505493,-15.245872845409405,0.0,0.4,0.4
mbh_minus_0p3dex,fedd2_spin_plus1_eps0p423_merger_boost_x2,heavy_dcbh,23,23,1.2856555272806132,3.16947894961783,4.118650277429113,2.1136554816318185,6.095494867551146,0.5217391304347826,0.6512287943853912,0.6944327055390882
mbh_minus_0p3dex,fedd2_spin_plus1_eps0p423_merger_boost_x2,intermediate_cluster,23,23,2.5112136802022667,5.409745420943766,4.118650277429113,2.1136554816318185,6.095494867551146,0.30434782608695654,0.3970355052751516,0.36576552177192884
mbh_minus_0p3dex,fedd2_spin_plus1_eps0p423_merger_boost_x2,light_popiii,23,23,4.163887893254224,8.760501490947076,4.118650277429113,2.1136554816318185,6.095494867551146,0.0,0.03603193269910403,0.0
mbh_minus_0p3dex,fedd2_spin_plus1_eps0p423_merger_boost_x2,pbh,23,23,2.0980451269392777,4.572056403442938,4.118650277429113,2.1136554816318185,6.095494867551146,0.9565217391304348,0.7648541679313866,0.7803909746121445
mbh_minus_0p3dex,fedd2_spin_plus1_eps0p423_no_merger_boost,heavy_dcbh,23,23,1.540924664274221,3.4908389610248536,4.419680273093094,2.4146854772957997,6.396524863215127,0.5652173913043478,0.6737564982420782,0.6847795960380304
mbh_minus_0p3dex,fedd2_spin_plus1_eps0p423_no_merger_boost,intermediate_cluster,23,23,2.759965935796769,5.914084463555843,4.419680273093094,2.4146854772957997,6.396524863215127,0.30434782608695654,0.30913260285535954,0.14439048512893288
mbh_minus_0p3dex,fedd2_spin_plus1_eps0p423_no_merger_boost,light_popiii,23,23,4.412640148848727,9.264840533559154,4.419680273093094,2.4146854772957997,6.396524863215127,0.0,0.010709451504859042,0.0
mbh_minus_0p3dex,fedd2_spin_plus1_eps0p423_no_merger_boost,pbh,23,23,2.34679738253378,5.076395446055016,4.419680273093094,2.4146854772957997,6.396524863215127,0.9565217391304348,0.7180326286720636,0.730640523493244
mbh_plus_0p3dex,fedd0p3_eps0p1_merger_boost_x2,heavy_dcbh,23,23,0.26827377220483495,0.592233512437387,4.747044039948955,2.75290073714739,6.7174733720971895,0.6521739130434783,0.8912956503157556,1.0
mbh_plus_0p3dex,fedd0p3_eps0p1_merger_boost_x2,intermediate_cluster,23,23,0.4564066854722042,0.973668338563173,4.747044039948955,2.75290073714739,6.7174733720971895,0.17391304347826086,0.5881777746115052,0.4
mbh_plus_0p3dex,fedd0p3_eps0p1_merger_boost_x2,light_popiii,23,23,0.7072505698286964,1.4822481067308877,4.747044039948955,2.75290073714739,6.7174733720971895,0.0,0.38992301631979226,0.4
mbh_plus_0p3dex,fedd0p3_eps0p1_merger_boost_x2,pbh,23,23,0.3936957143830811,0.8465233965212443,4.747044039948955,2.75290073714739,6.7174733720971895,0.8695652173913043,0.9639105272161291,1.0
mbh_plus_0p3dex,fedd0p3_eps0p1_no_merger_boost,heavy_dcbh,23,23,0.3060295389149206,0.6687823951405449,5.048074035612936,3.0539307328113714,7.018503367761171,0.6086956521739131,0.8477796214239991,1.0
mbh_plus_0p3dex,fedd0p3_eps0p1_no_merger_boost,intermediate_cluster,23,23,0.49416245218228977,1.050217221266331,5.048074035612936,3.0539307328113714,7.018503367761171,0.13043478260869565,0.5113286550565604,0.4
