z_seed,merger_boost,spin,epsilon,f_edd_avg,seed_model,compatible_object_fraction,n_objects,n_compatible,median_required_log_mseed,min_required_log_mseed,max_required_log_mseed
30.0,1.0,1.0,0.42264973081037416,2.0,heavy_dcbh,0.6521739130434783,23,15,4.719680273093093,2.7146854772957996,6.696524863215128
30.0,1.0,1.0,0.42264973081037416,2.0,pbh,0.8695652173913043,23,20,4.719680273093093,2.7146854772957996,6.696524863215128
30.0,2.0,1.0,0.42264973081037416,2.0,light_popiii,0.0,23,0,4.418650277429112,2.4136554816318183,6.395494867551147
30.0,2.0,1.0,0.42264973081037416,2.0,intermediate_cluster,0.30434782608695654,23,7,4.418650277429112,2.4136554816318183,6.395494867551147
30.0,2.0,1.0,0.42264973081037416,2.0,heavy_dcbh,0.5652173913043478,23,13,4.418650277429112,2.4136554816318183,6.395494867551147
30.0,2.0,1.0,0.42264973081037416,2.0,pbh,0.9565217391304348,23,22,4.418650277429112,2.4136554816318183,6.395494867551147
30.0,1.0,1.0,0.42264973081037416,3.0,light_popiii,0.08695652173913043,23,2,3.509520409639641,1.0420282159436995,5.759787294822692
30.0,1.0,1.0,0.42264973081037416,3.0,intermediate_cluster,0.2608695652173913,23,6,3.509520409639641,1.0420282159436995,5.759787294822692
30.0,1.0,1.0,0.42264973081037416,3.0,heavy_dcbh,0.34782608695652173,23,8,3.509520409639641,1.0420282159436995,5.759787294822692
30.0,1.0,1.0,0.42264973081037416,3.0,pbh,0.9130434782608695,23,21,3.509520409639641,1.0420282159436995,5.759787294822692
30.0,2.0,1.0,0.42264973081037416,3.0,light_popiii,0.08695652173913043,23,2,3.20849041397566,0.7409982202797183,5.4587572991587106
30.0,2.0,1.0,0.42264973081037416,3.0,intermediate_cluster,0.21739130434782608,23,5,3.20849041397566,0.7409982202797183,5.4587572991587106
30.0,2.0,1.0,0.42264973081037416,3.0,heavy_dcbh,0.30434782608695654,23,7,3.20849041397566,0.7409982202797183,5.4587572991587106
30.0,2.0,1.0,0.42264973081037416,3.0,pbh,0.8695652173913043,23,20,3.20849041397566,0.7409982202797183,5.4587572991587106
