physical_object_id,measurement_id,object_id,growth_ranking_eligible_flag,primary_growth_ranking_flag,open_identity_group,excluded_identity_flag,exploratory_only_evidence_flag,evidence_selection_reason,publication_primary_flag,publication_exploratory_flag
HZA-GLASS-160133,GLASS160133_harikane23,GLASS-160133,True,True,,False,False,,True,True
HZA-GLIMPSE-11026,GLIMPSE11026_fei26,GLIMPSE-11026,True,True,,False,False,,True,True
HZA-GLIMPSE-12248,GLIMPSE12248_fei26,GLIMPSE-12248,True,True,,False,False,,True,True
HZA-GLIMPSE-13131,GLIMPSE13131_fei26,GLIMPSE-13131,True,True,,False,False,,True,True
HZA-GLIMPSE-38548,GLIMPSE38548_fei26,GLIMPSE-38548,True,False,,False,False,,False,True
HZA-GLIMPSE-39803,GLIMPSE39803_fei26,GLIMPSE-39803,True,True,,False,False,,True,True
HZA-GLIMPSE-41299,GLIMPSE41299_fei26,GLIMPSE-41299,True,True,,False,False,,True,True
HZA-GLIMPSE-46938,GLIMPSE46938_fei26,GLIMPSE-46938,True,True,,False,False,,True,True
HZA-GLIMPSE-55241,GLIMPSE55241_fei26,GLIMPSE-55241,True,True,,False,False,,True,True
HZA-GLIMPSE-5536,GLIMPSE5536_fei26,GLIMPSE-5536,True,True,,False,False,,True,True
HZA-GLIMPSE-7404,GLIMPSE7404_fei26,GLIMPSE-7404,True,False,,False,False,,False,True
HZA-GN-102397,GN102397_meow26,GN-102397,False,False,,False,False,,False,False
HZA-GN-104946,GN104946_meow26,GN-104946,False,False,,False,False,,False,False
HZA-GN-1093,GN1093_juodzbalis25,GN-1093,True,True,,False,False,,True,True
HZA-GN-11419,GN11419_meow26,GN-11419,False,False,,False,False,,False,False
HZA-GN-11836,GN11836_juodzbalis25,GN-11836,True,True,,False,False,,True,True
HZA-GN-13928,GN13928_meow26,GN-13928,False,False,,False,False,,False,False
HZA-GN-20621,GN20621_juodzbalis25,GN-20621,True,True,,False,False,,True,True
HZA-GN-38509,GN38509_juodzbalis25,GN-38509,True,True,,False,False,,True,True
HZA-GN-42437,GN42437_chisholm24,GN-42437,False,False,,False,False,,False,False
HZA-GN-4685,GN4685_juodzbalis25,GN-4685,True,True,,False,True,Individual broad-Hbeta detection is tentative; broad emission is supported by the stacked spectrum.,False,True
HZA-GN-53757,GN53757_juodzbalis25,GN-53757,True,True,,False,False,,True,True
HZA-GN-61888,GN61888_juodzbalis25,GN-61888,True,True,,False,False,,True,True
HZA-GN-62309,GN62309_juodzbalis25,GN-62309,True,True,,False,False,,True,True
HZA-GN-6404,GN6404_meow26,GN-6404,False,False,,False,False,,False,False
HZA-GN-73488,GN73488_juodzbalis25,GN-73488,True,True,,False,False,,True,True
HZA-GN-77652,GN77652_juodzbalis25,GN-77652,True,True,,False,False,,True,True
HZA-GN-8224,GN8224_meow26,GN-8224,False,False,,False,False,,False,False
HZA-GN-903,GN903_meow26,GN-903,False,False,,False,False,,False,False
