catalogue_release,physical_object_id,host_system_id,host_system_assignment_status,host_property_scope
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J2356-0023,HZS-GNIRS50-J2356-0023,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-P000-26,HZS-GNIRS50-P000-26,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-P210-27,HZS-GNIRS50-P210-27,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-P228-21,HZS-GNIRS50-P228-21,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-P333-26,HZS-GNIRS50-P333-26,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GOODS-N-12839,HZS-GOODS-N-12839,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-GOODS-N-13733,HZS-GOODS-N-13733,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-GOODS-N-14409,HZS-GOODS-N-14409,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-GOODS-N-15498,HZS-GOODS-N-15498,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-GOODS-N-16813,HZS-GOODS-N-16813,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-GOODS-N-4014,HZS-GOODS-N-4014,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-GOODS-N-9771,HZS-GOODS-N-9771,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-GS-10013704,HZS-GS-10013704,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GS-159717,HZS-GS-159717,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-GS-164055,HZS-GS-164055,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GS-172975,HZS-GS-172975,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GS-20030333,HZS-GS-20030333,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GS-20057765,HZS-GS-20057765,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GS-200679,HZS-GS-200679,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GS-204851,HZS-GS-204851,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GS-210600,HZS-GS-210600,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GS-30148179,HZS-GS-30148179,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GS-38562,HZS-GS-38562,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-GS-8083,HZS-GS-8083,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v7.2-accreting-atlas-catalogue,HZA-J0100-12446,HZS-J0100-12446,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J0100-15157,HZS-J0100-15157,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J0100-16221,HZS-J0100-16221,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J0100-2017,HZS-J0100-2017,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J0109M3047-BHAE-1,HZS-J0109M3047-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J0148-12884,HZS-J0148-12884,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J0148-4214,HZS-J0148-4214,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J0148-976,HZS-J0148-976,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J0218P0007-BHAE-1,HZS-J0218P0007-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J0224M4711-BHAE-1,HZS-J0224M4711-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J0229M0808-BHAE-1,HZS-J0229M0808-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J0229M0808-BHAE-2,HZS-J0229M0808-BHAE-2,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J0430M1445-BHAE-1,HZS-J0430M1445-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J0910M0414-BHAE-1,HZS-J0910M0414-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J0923P0402-BHAE-1,HZS-J0923P0402-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J1120-14389,HZS-J1120-14389,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J1120-7546,HZS-J1120-7546,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J1148-18404,HZS-J1148-18404,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J1148-21787,HZS-J1148-21787,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J1148-7111,HZS-J1148-7111,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J1526M2050-BHAE-1,HZS-J1526M2050-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J1526M2050-BHAE-2,HZS-J1526M2050-BHAE-2,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J1526M2050-BHAE-3,HZS-J1526M2050-BHAE-3,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J2002M3013-BHAE-1,HZS-J2002M3013-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J2132P1217-BHAE-1,HZS-J2132P1217-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J2232P2930-BHAE-1,HZS-J2232P2930-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J2232P2930-BHAE-2,HZS-J2232P2930-BHAE-2,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-J2232P2930-BHAE-3,HZS-J2232P2930-BHAE-3,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-RUBIES-EGS-13872,HZS-RUBIES-EGS-13872,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-RUBIES-EGS-17146,HZS-RUBIES-EGS-17146,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-RUBIES-EGS-28812,HZS-RUBIES-EGS-28812,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
