measurement_id,object_id,ra_deg,dec_deg,redshift,redshift_kind,survey,object_class,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,mbh_method,log_mstar_msun,log_mstar_err_plus,log_mstar_err_minus,mstar_method,log_lbol_erg_s,log_lbol_err_plus,log_lbol_err_minus,lbol_method,edd_ratio_reported,edd_ratio_err_plus,edd_ratio_err_minus,agn_contam_flag,lensing_mu,lensing_mu_err,source_key,source_table,notes
GN11836_juodzbalis25,GN-11836,189.22059,62.26368,4.409,spec,JADES,broad-line-agn,6.06,0.32,0.32,single-epoch-virial-halpha,8.17,0.15,0.15,beagle-spectral-decomposition,44.11,0.05,0.05,balmer-line-bolometric-correction,0.11,0.03,0.02,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS9598_juodzbalis25,GS-9598,53.16181,-27.77072,3.324,spec,JADES,broad-line-agn,6.48,0.45,0.35,single-epoch-virial-halpha,,,,,43.85,0.09,0.11,balmer-line-bolometric-correction,0.18,0.09,0.08,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; BEAGLE Mstar unavailable in Table 5.
GS8083_juodzbalis25,GS-8083,53.13284,-27.80186,4.753,spec,JADES,broad-line-agn,7.10,0.31,0.31,single-epoch-virial-halpha,8.27,0.14,0.13,beagle-spectral-decomposition,44.03,0.04,0.04,balmer-line-bolometric-correction,0.07,0.01,0.009,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN2916_juodzbalis25,GN-2916,189.10774,62.26952,3.664,spec,JADES,broad-line-agn,7.05,0.44,0.43,single-epoch-virial-halpha,8.98,0.97,0.97,beagle-spectral-decomposition,43.91,0.13,0.14,balmer-line-bolometric-correction,0.06,0.07,0.03,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN1093_juodzbalis25,GN-1093,189.17974,62.22463,5.594,spec,JADES,broad-line-agn,7.14,0.34,0.33,single-epoch-virial-halpha,8.43,0.63,0.63,beagle-spectral-decomposition,44.32,0.13,0.11,balmer-line-bolometric-correction,0.12,0.04,0.03,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN954_juodzbalis25,GN-954,189.15197,62.25964,6.759,spec,JADES,broad-line-agn,7.70,0.31,0.32,single-epoch-virial-halpha,10.93,0.11,0.11,beagle-spectral-decomposition,45.17,0.15,0.17,balmer-line-bolometric-correction,0.23,0.03,0.04,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS200679_juodzbalis25,GS-200679,53.11392,-27.80620,4.547,spec,JADES,broad-line-agn,6.19,0.60,0.30,single-epoch-virial-halpha,,,,,43.63,0.09,0.39,balmer-line-bolometric-correction,0.23,0.02,0.19,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative sample; BEAGLE Mstar unavailable in Table 5.
GN23924_juodzbalis25,GN-23924,189.03205,62.25089,1.676,spec,JADES,broad-line-agn,7.22,0.32,0.33,single-epoch-virial-halpha,,,,,43.61,0.10,0.11,balmer-line-bolometric-correction,0.020,0.010,0.007,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative sample; BEAGLE Mstar unavailable in Table 5.
GS20057765_juodzbalis25,GS-20057765,53.04080,-27.85901,8.913,spec,JADES,broad-line-agn,7.33,0.62,0.70,single-epoch-virial-halpha,7.40,0.78,0.97,beagle-spectral-decomposition,44.16,0.19,0.30,balmer-line-bolometric-correction,0.051,0.090,0.036,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative sample; Mstar uses BEAGLE value.
GS20030333_juodzbalis25,GS-20030333,53.05373,-27.87789,7.891,spec,JADES,broad-line-agn,7.42,0.65,0.48,single-epoch-virial-halpha,,,,,44.44,0.11,0.14,balmer-line-bolometric-correction,0.08,0.078,0.056,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative sample; BEAGLE Mstar unavailable in Table 5.
GS164055_juodzbalis25,GS-164055,53.08168,-27.88857,7.397,spec,JADES,broad-line-agn,7.63,0.59,0.66,single-epoch-virial-halpha,,,,,44.21,0.16,0.21,balmer-line-bolometric-correction,0.03,0.048,0.020,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative sample; BEAGLE Mstar unavailable in Table 5.
GN4685_juodzbalis25,GN-4685,189.09629,62.23914,7.415,spec,JADES,broad-line-agn,7.36,0.45,0.42,single-epoch-virial-halpha,9.91,0.22,0.21,beagle-spectral-decomposition,44.13,0.10,0.12,balmer-line-bolometric-correction,0.045,0.020,0.020,1,,,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative sample; Mstar uses BEAGLE value.
