catalogue_release,physical_object_id,host_system_id,host_system_assignment_status,host_property_scope
v3-dataset-catalogue,HZA-GN-4685,HZS-GN-4685,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GN-53757,HZS-GN-53757,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GN-61888,HZS-GN-61888,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GN-62309,HZS-GN-62309,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GN-6404,HZS-GN-6404,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GN-73488,HZS-GN-73488,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GN-77652,HZS-GN-77652,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GN-8224,HZS-GN-8224,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GN-903,HZS-GN-903,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GN-954,HZS-GN-954,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GN-96071,HZS-GN-96071,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GN-Z11,HZS-GN-Z11,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GOODS-N-12839,HZS-GOODS-N-12839,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-GOODS-N-13733,HZS-GOODS-N-13733,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-GOODS-N-14409,HZS-GOODS-N-14409,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-GOODS-N-15498,HZS-GOODS-N-15498,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-GOODS-N-16813,HZS-GOODS-N-16813,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
